Date,Open,High,Low,Close,Volume,Change_%,Trend,Range,Range_%,Gap,Gap_%,RSI_14,MACD,MACD_Signal,MACD_Hist,ROC_10,ATR_14,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_%B,Volatility_20,OBV,Volume_MA20,Volume_Ratio,VWAP_Cumulative,Lag_1,Lag_2,Lag_3,Lag_5,Return_1,Return_3,Return_5,Rolling_High_10,Rolling_Low_10,Rolling_High_20,Rolling_Low_20,Pct_From_High_20,Pct_From_Low_20
13-01-2025,23195.40039,23340.94922,23047.25,23085.94922,316500,-1.4747,Negative,293.7,1.27,-236.1,-1.01,32.1994,-215.2117,-158.4891,-56.7226,-2.3639,290.07,23803.49,24481.39,23125.6,0.057,-0.0292,13.7319,71160800,254300,1.2446,13047.33,23431.5,23526.5,23688.95,23616.05,-1.4747,-2.5455,-2.2447,24226.7,23047.25,24781.25,23047.25,-6.8411,0.1679
10-01-2025,23551.90039,23596.59961,23344.34961,23431.5,261000,-0.4038,Negative,252.25,1.08,25.4,0.11,37.7653,-176.5743,-144.3084,-32.2659,-1.6037,282.83,23887.61,24604.85,23170.37,0.0601,0.182,13.7198,71477300,253980,1.0276,13043.66,23526.5,23688.95,23707.9,24004.75,-0.4038,-1.1659,-2.3881,24226.7,23344.35,24792.3,23344.35,-5.4888,0.3733
09-01-2025,23674.75,23689.5,23503.05078,23526.5,269200,-0.6858,Negative,186.45,0.79,-14.2,-0.06,39.5088,-159.8738,-136.2419,-23.6319,-0.9419,285.18,23943.47,24683.58,23203.36,0.0618,0.2183,13.7158,71738300,254235,1.0589,13040.54,23688.95,23707.9,23616.05,24188.65,-0.6858,-0.3792,-2.7374,24226.7,23460.45,24792.3,23460.45,-5.1056,0.2815
08-01-2025,23746.65039,23751.84961,23496.15039,23688.94922,266400,-0.0799,Negative,255.7,1.09,38.75,0.16,42.634,-145.9052,-130.3339,-15.5713,-0.1631,292.77,23999.24,24772.59,23225.88,0.0644,0.2994,13.6616,72007500,250140,1.065,13037.29,23707.9,23616.05,24004.75,23742.9,-0.0799,-1.3156,-0.2272,24226.7,23460.45,24792.3,23460.45,-4.4504,0.974
07-01-2025,23679.90039,23795.19922,23637.80078,23707.90039,262300,0.3889,Positive,157.4,0.67,63.85,0.27,43.0025,-142.4943,-126.4411,-16.0532,-0.1918,295.63,24045.29,24848.38,23242.2,0.0668,0.2899,13.6672,72273900,249870,1.0497,13034.05,23616.05,24004.75,24188.65,23644.8,0.3889,-1.9875,0.2669,24226.7,23460.45,24792.3,23460.45,-4.3739,1.0548
06-01-2025,24045.80078,24089.94922,23551.90039,23616.05078,278100,-1.6193,Negative,538.05,2.28,41.05,0.17,40.6957,-137.9976,-122.4278,-15.5698,0.121,304.59,24090.85,24915.3,23266.4,0.0684,0.2121,13.4964,72011600,249160,1.1162,13030.83,24004.75,24188.65,23742.9,23644.9,-1.6193,-0.5343,-0.122,24226.7,23460.45,24792.3,23460.45,-4.7444,0.6632
03-01-2025,24196.40039,24196.44922,23976.0,24004.75,312300,-0.7603,Negative,220.45,0.92,7.75,0.03,48.3919,-120.899,-118.5354,-2.3636,0.2215,286.63,24143.93,24975.96,23311.91,0.0689,0.4164,12.4217,72289700,246590,1.2665,13027.4,24188.65,23742.9,23644.8,23813.4,-0.7603,1.5223,0.8035,24226.7,23460.45,24792.3,23460.45,-3.1766,2.3201
02-01-2025,23783.0,24226.69922,23751.55078,24188.65039,283200,1.8774,Positive,475.15,2.0,40.1,0.17,52.7767,-136.8931,-117.9445,-18.9486,-0.0421,291.72,24179.12,25043.5,23314.73,0.0715,0.5055,12.8053,72602000,249050,1.1371,13023.44,23742.9,23644.8,23644.9,23750.2,1.8774,2.2997,1.8461,24226.7,23460.45,24857.75,23460.45,-2.6917,3.1039
01-01-2025,23637.65039,23822.80078,23562.80078,23742.90039,154900,0.4149,Positive,260.0,1.1,-7.15,-0.03,40.6787,-174.0406,-113.2073,-60.8333,-2.4371,276.94,24193.06,25066.55,23319.56,0.0722,0.2423,10.6376,72318800,252290,0.614,13019.85,23644.8,23644.9,23813.4,23727.65,0.4149,-0.2961,0.0643,24394.45,23460.45,24857.75,23460.45,-4.4849,1.2039
31-12-2024,23560.59961,23689.84961,23460.44922,23644.80078,193600,-0.0004,Negative,229.4,0.98,-84.3,-0.36,37.4014,-173.5374,-97.999,-75.5384,-4.1489,278.25,24228.77,25083.94,23373.6,0.0706,0.1586,10.9286,72163900,261520,0.7403,13017.95,23644.9,23813.4,23750.2,23753.45,-0.0004,-0.4438,-0.4574,24624.1,23460.45,24857.75,23460.45,-4.8796,0.7858
